Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
1109A,C18086,DOUBLE D CONSTRUCTION LLC,"$504,715.55","$387,182.00","$117,533.55",30.36%,0,1/13/2011
060A,C18086,"HIGHWAY TECHNOLOGIES, INC.","$510,462.35","$387,182.00","$123,280.35",31.84%,0,1/13/2011
503F,C18086,K.E.C.I. COLORADO INCORPORATED,"$595,968.00","$387,182.00","$208,786.00",53.92%,0,1/13/2011
607A,C18086,"ROADSAFE TRAFFIC SYSTEMS, INC","$494,035.00","$387,182.00","$106,853.00",27.60%,0,1/13/2011
061A,C18086,"ROCKY MOUNTAIN ENTERPRISES, INC.","$413,063.33","$387,182.00","$25,881.33",6.68%,0,1/13/2011
1050A,C18086,WATERFORD CORPORATION,"$399,526.49","$387,182.00","$12,344.49",3.19%,0,1/13/2011
,C18086 Average,,,,"$81,457.22",21.04%,,
2003A,C18089,"ALERT TRAFFIC CONTROL, INC.","$232,959.50","$295,090.50","-$62,131.00",-21.05%,1,1/13/2011
060A,C18089,"HIGHWAY TECHNOLOGIES, INC.","$311,431.05","$295,090.50","$16,340.55",5.54%,0,1/13/2011
607A,C18089,"ROADSAFE TRAFFIC SYSTEMS, INC","$324,835.00","$295,090.50","$29,744.50",10.08%,0,1/13/2011
260A,C18089,"ROADWAY SAFETY SOLUTIONS, LLC","$249,585.50","$295,090.50","-$45,505.00",-15.42%,0,1/13/2011
061A,C18089,"ROCKY MOUNTAIN ENTERPRISES, INC.","$255,191.87","$295,090.50","-$39,898.63",-13.52%,0,1/13/2011
,C18089 Average,,,,"-$20,289.92",-6.88%,,
060A,C18091,"HIGHWAY TECHNOLOGIES, INC.","$787,803.50","$641,806.00","$145,997.50",22.75%,0,1/13/2011
162A,C18091,KOLBE STRIPING INCORPORATED,"$658,479.75","$641,806.00","$16,673.75",2.60%,0,1/13/2011
607A,C18091,"ROADSAFE TRAFFIC SYSTEMS, INC","$617,179.90","$641,806.00","-$24,626.10",-3.84%,0,1/13/2011
061A,C18091,"ROCKY MOUNTAIN ENTERPRISES, INC.","$575,759.11","$641,806.00","-$66,046.89",-10.29%,1,1/13/2011
,C18091 Average,,,,"$17,999.57",2.80%,,
1231A,C18092,INTERFACE COMMUNICATIONS COMPANY,"$968,925.00","$1,074,890.00","-$105,965.00",-9.86%,0,1/13/2011
720A,C18092,"STURGEON ELECTRIC COMPANY, INC.","$1,024,545.00","$1,074,890.00","-$50,345.00",-4.68%,0,1/13/2011
276A,C18092,"TECHNOLOGY CONSTRUCTORS, INC.","$1,117,710.00","$1,074,890.00","$42,820.00",3.98%,0,1/13/2011
450A,C18092,"TETRA TECH CONSTRUCTION, INC.","$1,038,476.75","$1,074,890.00","-$36,413.25",-3.39%,0,1/13/2011
697A,C18092,"W.L. CONTRACTORS, INC.","$956,143.18","$1,074,890.00","-$118,746.82",-11.05%,1,1/13/2011
,C18092 Average,,,,"-$53,730.01",-5.00%,,
503F,C17664,K.E.C.I. COLORADO INCORPORATED,"$1,152,411.00","$894,455.00","$257,956.00",28.84%,0,1/20/2011
720A,C17664,"STURGEON ELECTRIC COMPANY, INC.","$1,088,765.00","$894,455.00","$194,310.00",21.72%,0,1/20/2011
450A,C17664,"TETRA TECH CONSTRUCTION, INC.","$1,061,333.75","$894,455.00","$166,878.75",18.66%,0,1/20/2011
697A,C17664,"W.L. CONTRACTORS, INC.","$981,412.50","$894,455.00","$86,957.50",9.72%,1,1/20/2011
,C17664 Average,,,,"$176,525.56",19.74%,,
232A,C17783-ALT,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$39,532,669.00","$39,088,208.80","$444,460.20",1.14%,0,1/20/2011
011A,C17783-ALT,AMES CONSTRUCTION INCORPORATED,"$39,433,600.00","$39,088,208.80","$345,391.20",0.88%,0,1/20/2011
865A,C17783-ALT,"CONCRETE EXPRESS, INC.","$37,235,634.99","$39,088,208.80","-$1,852,573.81",-4.74%,0,1/20/2011
164A,C17783-ALT,EDWARD KRAEMER AND SONS INCORPORATED,"$35,947,735.35","$39,088,208.80","-$3,140,473.45",-8.03%,0,1/20/2011
099H,C17783-ALT,"FLATIRON CONSTRUCTORS,  INC.","$38,458,618.83","$39,088,208.80","-$629,589.97",-1.61%,0,1/20/2011
884A,C17783-ALT,"HAMON INFRASTRUCTURE, INC.","$32,088,000.00","$39,088,208.80","-$7,000,208.80",-17.91%,1,1/20/2011
695A,C17783-ALT,KIEWIT INFRASTRUCTURE CO.,"$40,106,489.35","$39,088,208.80","$1,018,280.55",2.61%,0,1/20/2011
169A,C17783-ALT,LAWRENCE CONSTRUCTION COMPANY,"$39,779,360.40","$39,088,208.80","$691,151.60",1.77%,0,1/20/2011
870A,C17783-ALT,"SEMA CONSTRUCTION, INC.","$33,773,486.89","$39,088,208.80","-$5,314,721.91",-13.60%,0,1/20/2011
,C17783-ALT Average,,,,"-$1,715,364.93",-4.39%,,
968A,C18003,"COLORADO CONSTRUCTORS, INC.","$979,283.84","$1,185,572.75","-$206,288.91",-17.40%,0,1/20/2011
727A,C18003,"HABITAT CONSTRUCTION, LLC","$1,061,996.80","$1,185,572.75","-$123,575.95",-10.42%,0,1/20/2011
696A,C18003,"JALISCO INTERNATIONAL, INC.","$834,857.84","$1,185,572.75","-$350,714.91",-29.58%,1,1/20/2011
562A,C18003,"NEATLINE STRUCTURES, INC.","$938,210.27","$1,185,572.75","-$247,362.48",-20.86%,0,1/20/2011
870A,C18003,"SEMA CONSTRUCTION, INC.","$909,393.22","$1,185,572.75","-$276,179.53",-23.30%,0,1/20/2011
1086A,C18003,"STRUCTURES, INC.","$999,779.47","$1,185,572.75","-$185,793.28",-15.67%,0,1/20/2011
903A,C18003,"TLM CONSTRUCTORS, INC.","$925,125.70","$1,185,572.75","-$260,447.05",-21.97%,0,1/20/2011
,C18003 Average,,,,"-$235,766.02",-19.89%,,
219A,C18090,"FRC and B, Inc. dba FRONT RANGE STRIPING","$448,176.50","$441,914.25","$6,262.25",1.42%,0,1/20/2011
060A,C18090,"HIGHWAY TECHNOLOGIES, INC.","$547,481.70","$441,914.25","$105,567.45",23.89%,0,1/20/2011
162A,C18090,KOLBE STRIPING INCORPORATED,"$434,281.00","$441,914.25","-$7,633.25",-1.73%,1,1/20/2011
607A,C18090,"ROADSAFE TRAFFIC SYSTEMS, INC","$459,327.25","$441,914.25","$17,413.00",3.94%,0,1/20/2011
061A,C18090,"ROCKY MOUNTAIN ENTERPRISES, INC.","$478,718.00","$441,914.25","$36,803.75",8.33%,0,1/20/2011
,C18090 Average,,,,"$31,682.64",7.17%,,
232A,C18131,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$5,882,398.00","$4,833,116.20","$1,049,281.80",21.71%,0,1/27/2011
865A,C18131,"CONCRETE EXPRESS, INC.","$5,909,604.35","$4,833,116.20","$1,076,488.15",22.27%,0,1/27/2011
164A,C18131,EDWARD KRAEMER AND SONS INCORPORATED,"$5,849,236.35","$4,833,116.20","$1,016,120.15",21.02%,0,1/27/2011
099H,C18131,"FLATIRON CONSTRUCTORS,  INC.","$6,067,561.94","$4,833,116.20","$1,234,445.74",25.54%,0,1/27/2011
696A,C18131,"JALISCO INTERNATIONAL, INC.","$5,887,340.00","$4,833,116.20","$1,054,223.80",21.81%,0,1/27/2011
169A,C18131,LAWRENCE CONSTRUCTION COMPANY,"$5,612,783.65","$4,833,116.20","$779,667.45",16.13%,0,1/27/2011
870A,C18131,"SEMA CONSTRUCTION, INC.","$5,498,295.27","$4,833,116.20","$665,179.07",13.76%,1,1/27/2011
1086A,C18131,"STRUCTURES, INC.","$6,369,271.57","$4,833,116.20","$1,536,155.37",31.78%,0,1/27/2011
279A,C18131,"TEZAK HEAVY EQUIPMENT CO., INC.","$5,672,592.72","$4,833,116.20","$839,476.52",17.37%,0,1/27/2011
,C18131 Average,,,,"$1,027,893.12",21.27%,,
060A,C18238,"HIGHWAY TECHNOLOGIES, INC.","$1,663,190.00","$1,466,594.00","$196,596.00",13.40%,0,1/27/2011
162A,C18238,KOLBE STRIPING INCORPORATED,"$1,672,544.76","$1,466,594.00","$205,950.76",14.04%,0,1/27/2011
607A,C18238,"ROADSAFE TRAFFIC SYSTEMS, INC","$1,597,276.30","$1,466,594.00","$130,682.30",8.91%,1,1/27/2011
259A,C18238,"STREAMLINE MARKINGS, INC","$1,632,703.98","$1,466,594.00","$166,109.98",11.33%,0,1/27/2011
,C18238 Average,,,,"$174,834.76",11.92%,,
905A,C18235,"ABCO CONTRACTING, INC.","$179,903.00","$144,759.25","$35,143.75",24.28%,0,2/3/2011
232A,C18235,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$127,896.00","$144,759.25","-$16,863.25",-11.65%,0,2/3/2011
435A,C18235,G.A. WESTERN CONSTRUCTION CO.,"$90,230.55","$144,759.25","-$54,528.70",-37.67%,0,2/3/2011
503F,C18235,K.E.C.I. COLORADO INCORPORATED,"$110,563.00","$144,759.25","-$34,196.25",-23.62%,0,2/3/2011
240A,C18235,"MAYS CONSTRUCTION SPECIALTIES, INC","$146,623.50","$144,759.25","$1,864.25",1.29%,0,2/3/2011
613A,C18235,"MUELLER CONSTRUCTION SERVICES, INC.","$86,866.00","$144,759.25","-$57,893.25",-39.99%,1,2/3/2011
276A,C18235,"TECHNOLOGY CONSTRUCTORS, INC.","$123,597.00","$144,759.25","-$21,162.25",-14.62%,0,2/3/2011
903A,C18235,"TLM CONSTRUCTORS, INC.","$111,148.00","$144,759.25","-$33,611.25",-23.22%,0,2/3/2011
,C18235 Average,,,,"-$22,655.87",-15.65%,,
2003A,C18241,"ALERT TRAFFIC CONTROL, INC.","$218,593.00","$223,181.00","-$4,588.00",-2.06%,0,2/3/2011
060A,C18241,"HIGHWAY TECHNOLOGIES, INC.","$353,745.00","$223,181.00","$130,564.00",58.50%,0,2/3/2011
503F,C18241,K.E.C.I. COLORADO INCORPORATED,"$270,951.00","$223,181.00","$47,770.00",21.40%,0,2/3/2011
607A,C18241,"ROADSAFE TRAFFIC SYSTEMS, INC","$268,374.50","$223,181.00","$45,193.50",20.25%,0,2/3/2011
061A,C18241,"ROCKY MOUNTAIN ENTERPRISES, INC.","$213,370.00","$223,181.00","-$9,811.00",-4.40%,1,2/3/2011
,C18241 Average,,,,"$41,825.70",18.74%,,
074A,C18029,CRUZ CONSTRUCTION INCORPORATED,"$1,224,218.00","$1,236,733.00","-$12,515.00",-1.01%,1,2/10/2011
977A,C18029,"EVEN CONSTRUCTION, INC. dba EVEN-PREISSER, INC.","$1,388,933.44","$1,236,733.00","$152,200.44",12.31%,0,2/10/2011
727A,C18029,"HABITAT CONSTRUCTION, LLC","$1,332,361.01","$1,236,733.00","$95,628.01",7.73%,0,2/10/2011
503F,C18029,K.E.C.I. COLORADO INCORPORATED,"$1,412,354.00","$1,236,733.00","$175,621.00",14.20%,0,2/10/2011
010A,C18029,NORAA CONCRETE CONSTRUCTION CORPORATION,"$1,344,940.50","$1,236,733.00","$108,207.50",8.75%,0,2/10/2011
821A,C18029,PIONEER SAND COMPANY INCORPORATED,"$1,356,096.25","$1,236,733.00","$119,363.25",9.65%,0,2/10/2011
903A,C18029,"TLM CONSTRUCTORS, INC.","$1,278,060.00","$1,236,733.00","$41,327.00",3.34%,0,2/10/2011
025A,C18029,TONY J. BELTRAMO AND SONS INCORPORATED,"$1,277,200.00","$1,236,733.00","$40,467.00",3.27%,0,2/10/2011
S4792,C18029,VILLALOBOS CONCRETE INC,"$1,608,853.90","$1,236,733.00","$372,120.90",30.09%,0,2/10/2011
,C18029 Average,,,,"$121,380.01",9.81%,,
162A,C18240,KOLBE STRIPING INCORPORATED,"$135,060.00","$198,005.00","-$62,945.00",-31.79%,1,2/10/2011
,C18240 Average,,,,"-$62,945.00",-31.79%,,
2003A,C17953,"ALERT TRAFFIC CONTROL, INC.","$406,290.00","$300,267.75","$106,022.25",35.31%,0,2/17/2011
1342A,C17953,"CC ENTERPRISES - TRAFFIC CONTROL SPECIALISTS, INC.","$376,211.00","$300,267.75","$75,943.25",25.29%,0,2/17/2011
060A,C17953,"HIGHWAY TECHNOLOGIES, INC.","$312,130.50","$300,267.75","$11,862.75",3.95%,1,2/17/2011
607A,C17953,"ROADSAFE TRAFFIC SYSTEMS, INC","$348,700.50","$300,267.75","$48,432.75",16.13%,0,2/17/2011
061A,C17953,"ROCKY MOUNTAIN ENTERPRISES, INC.","$403,770.00","$300,267.75","$103,502.25",34.47%,0,2/17/2011
1050A,C17953,WATERFORD CORPORATION,"$328,395.93","$300,267.75","$28,128.18",9.37%,0,2/17/2011
,C17953 Average,,,,"$62,315.24",20.75%,,
884A,C18059,"HAMON INFRASTRUCTURE, INC.","$1,576,000.00","$1,345,600.00","$230,400.00",17.12%,0,2/17/2011
169A,C18059,LAWRENCE CONSTRUCTION COMPANY,"$1,539,000.00","$1,345,600.00","$193,400.00",14.37%,0,2/17/2011
213A,C18059,PARK CONSTRUCTION COMPANY,"$1,838,111.81","$1,345,600.00","$492,511.81",36.60%,0,2/17/2011
870A,C18059,"SEMA CONSTRUCTION, INC.","$2,129,365.00","$1,345,600.00","$783,765.00",58.25%,0,2/17/2011
279A,C18059,"TEZAK HEAVY EQUIPMENT CO., INC.","$1,398,683.97","$1,345,600.00","$53,083.97",3.95%,1,2/17/2011
,C18059 Average,,,,"$350,632.16",26.06%,,
2003A,C18199,"ALERT TRAFFIC CONTROL, INC.","$193,861.00","$119,688.00","$74,173.00",61.97%,0,2/17/2011
1342A,C18199,"CC ENTERPRISES - TRAFFIC CONTROL SPECIALISTS, INC.","$102,264.00","$119,688.00","-$17,424.00",-14.56%,1,2/17/2011
607A,C18199,"ROADSAFE TRAFFIC SYSTEMS, INC","$158,302.25","$119,688.00","$38,614.25",32.26%,0,2/17/2011
061A,C18199,"ROCKY MOUNTAIN ENTERPRISES, INC.","$130,490.00","$119,688.00","$10,802.00",9.03%,0,2/17/2011
,C18199 Average,,,,"$26,541.31",22.18%,,
2003A,C18227,"ALERT TRAFFIC CONTROL, INC.","$304,782.00","$250,636.50","$54,145.50",21.60%,1,2/17/2011
1342A,C18227,"CC ENTERPRISES - TRAFFIC CONTROL SPECIALISTS, INC.","$365,209.00","$250,636.50","$114,572.50",45.71%,0,2/17/2011
607A,C18227,"ROADSAFE TRAFFIC SYSTEMS, INC","$319,425.00","$250,636.50","$68,788.50",27.45%,0,2/17/2011
061A,C18227,"ROCKY MOUNTAIN ENTERPRISES, INC.","$321,956.50","$250,636.50","$71,320.00",28.46%,0,2/17/2011
,C18227 Average,,,,"$77,206.63",30.80%,,
219A,C18228,"FRC and B, Inc. dba FRONT RANGE STRIPING","$320,073.50","$279,816.50","$40,257.00",14.39%,0,2/17/2011
060A,C18228,"HIGHWAY TECHNOLOGIES, INC.","$312,364.00","$279,816.50","$32,547.50",11.63%,1,2/17/2011
162A,C18228,KOLBE STRIPING INCORPORATED,"$374,936.90","$279,816.50","$95,120.40",33.99%,0,2/17/2011
607A,C18228,"ROADSAFE TRAFFIC SYSTEMS, INC","$312,622.50","$279,816.50","$32,806.00",11.72%,0,2/17/2011
061A,C18228,"ROCKY MOUNTAIN ENTERPRISES, INC.","$377,884.50","$279,816.50","$98,068.00",35.05%,0,2/17/2011
,C18228 Average,,,,"$59,759.78",21.36%,,
624A,C18236,"ADB COMPANIES, INC.","$707,438.65","$605,294.50","$102,144.15",16.88%,1,2/17/2011
1276A,C18236,"DILLIE AND KUHN, INC","$806,622.10","$605,294.50","$201,327.60",33.26%,0,2/17/2011
1095A,C18236,"DOUBLE E, INC. DBA ELECTRICAL EXCELLENCE ENTERPRISES","$835,108.00","$605,294.50","$229,813.50",37.97%,0,2/17/2011
720A,C18236,"STURGEON ELECTRIC COMPANY, INC.","$847,440.10","$605,294.50","$242,145.60",40.00%,0,2/17/2011
450A,C18236,"TETRA TECH CONSTRUCTION, INC.","$768,834.75","$605,294.50","$163,540.25",27.02%,0,2/17/2011
697A,C18236,"W.L. CONTRACTORS, INC.","$937,759.65","$605,294.50","$332,465.15",54.93%,0,2/17/2011
,C18236 Average,,,,"$211,906.04",35.01%,,
162A,C18281,KOLBE STRIPING INCORPORATED,"$749,625.00","$676,650.00","$72,975.00",10.78%,0,2/17/2011
607A,C18281,"ROADSAFE TRAFFIC SYSTEMS, INC","$797,068.75","$676,650.00","$120,418.75",17.80%,0,2/17/2011
259A,C18281,"STREAMLINE MARKINGS, INC","$646,189.75","$676,650.00","-$30,460.25",-4.50%,1,2/17/2011
,C18281 Average,,,,"$54,311.17",8.03%,,
695A,C18359,KIEWIT INFRASTRUCTURE CO.,"$74,700.00","$74,720.95",-$20.95,-0.03%,1,2/18/2011
,C18359 Average,,,,-$20.95,-0.03%,,
005A,C17184,A and S CONSTRUCTION CO.,"$2,067,766.61","$2,184,098.70","-$116,332.09",-5.33%,1,3/3/2011
027A,C17184,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$2,270,041.28","$2,184,098.70","$85,942.58",3.93%,0,3/3/2011
091A,C17184,ELAM CONSTRUCTION INCORPORATED,"$2,205,047.70","$2,184,098.70","$20,949.00",0.96%,0,3/3/2011
163A,C17184,LAFARGE NORTH AMERICA INC.,"$2,197,352.20","$2,184,098.70","$13,253.50",0.61%,0,3/3/2011
408A,C17184,"LEDCOR CMI, INC.","$2,375,585.21","$2,184,098.70","$191,486.51",8.77%,0,3/3/2011
672A,C17184,"OLDCASTLE SW GROUP, INC.","$2,442,495.23","$2,184,098.70","$258,396.53",11.83%,0,3/3/2011
,C17184 Average,,,,"$75,616.00",3.46%,,
005A,C17824,A and S CONSTRUCTION CO.,"$1,763,154.19","$1,776,254.50","-$13,100.31",-0.74%,0,3/3/2011
027A,C17824,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$2,324,659.40","$1,776,254.50","$548,404.90",30.87%,0,3/3/2011
695A,C17824,KIEWIT INFRASTRUCTURE CO.,"$2,281,200.80","$1,776,254.50","$504,946.30",28.43%,0,3/3/2011
163A,C17824,LAFARGE NORTH AMERICA INC.,"$1,752,675.10","$1,776,254.50","-$23,579.40",-1.33%,0,3/3/2011
701A,C17824,"ROCKY MOUNTAIN MATERIALS AND ASPHALT, INC.","$1,710,437.93","$1,776,254.50","-$65,816.57",-3.71%,1,3/3/2011
,C17824 Average,,,,"$190,170.98",10.71%,,
005A,C18093,A and S CONSTRUCTION CO.,"$2,487,272.50","$2,700,356.00","-$213,083.50",-7.89%,0,3/3/2011
027A,C18093,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$2,477,117.35","$2,700,356.00","-$223,238.65",-8.27%,0,3/3/2011
091A,C18093,ELAM CONSTRUCTION INCORPORATED,"$2,273,283.00","$2,700,356.00","-$427,073.00",-15.82%,1,3/3/2011
163A,C18093,LAFARGE NORTH AMERICA INC.,"$2,416,335.80","$2,700,356.00","-$284,020.20",-10.52%,0,3/3/2011
408A,C18093,"LEDCOR CMI, INC.","$2,895,344.40","$2,700,356.00","$194,988.40",7.22%,0,3/3/2011
672A,C18093,"OLDCASTLE SW GROUP, INC.","$2,579,179.10","$2,700,356.00","-$121,176.90",-4.49%,0,3/3/2011
,C18093 Average,,,,"-$178,933.98",-6.63%,,
1057A,C17722,A-1 CHIPSEAL COMPANY,"$1,901,003.95","$1,152,998.40","$748,005.55",64.87%,0,3/10/2011
002A,C17722,"CACTUS TRANSPORT, INC.","$1,252,650.01","$1,152,998.40","$99,651.61",8.64%,0,3/10/2011
621A,C17722,GMCO LIMITED LIABILITY COMPANY OF COLORADO,"$1,294,556.70","$1,152,998.40","$141,558.30",12.28%,0,3/10/2011
110E,C17722,"INTERMOUNTAIN SLURRY SEAL, INC.","$1,055,851.62","$1,152,998.40","-$97,146.78",-8.43%,0,3/10/2011
672A,C17722,"OLDCASTLE SW GROUP, INC.","$977,659.16","$1,152,998.40","-$175,339.24",-15.21%,1,3/10/2011
,C17722 Average,,,,"$143,345.89",12.43%,,
637A,C17891,"APC CONSTRUCTION CO., LLC","$3,104,802.43","$2,835,305.65","$269,496.78",9.51%,0,3/10/2011
924A,C17891,"ASPHALT SPECIALTIES CO., INC.","$2,597,867.86","$2,835,305.65","-$237,437.79",-8.37%,0,3/10/2011
032A,C17891,"BRANNAN SAND AND GRAVEL, LLC","$2,584,182.59","$2,835,305.65","-$251,123.06",-8.86%,0,3/10/2011
163A,C17891,LAFARGE NORTH AMERICA INC.,"$2,349,462.00","$2,835,305.65","-$485,843.65",-17.14%,1,3/10/2011
S2881,C17891,"PREMIER PAVING, INC.","$3,256,582.86","$2,835,305.65","$421,277.21",14.86%,0,3/10/2011
,C17891 Average,,,,"-$56,726.10",-2.00%,,
009A,C18031,ADARAND CONSTRUCTORS INCORPORATED,"$454,592.90","$451,887.50","$2,705.40",0.60%,1,3/10/2011
074A,C18031,CRUZ CONSTRUCTION INCORPORATED,"$455,116.00","$451,887.50","$3,228.50",0.71%,0,3/10/2011
1109A,C18031,DOUBLE D CONSTRUCTION LLC,"$505,512.20","$451,887.50","$53,624.70",11.87%,0,3/10/2011
447A,C18031,IDEAL FENCING CORPORATION,"$512,359.99","$451,887.50","$60,472.49",13.38%,0,3/10/2011
,C18031 Average,,,,"$30,007.77",6.64%,,
005A,C17766,A and S CONSTRUCTION CO.,"$10,867,010.96","$8,829,700.10","$2,037,310.86",23.07%,0,3/17/2011
232A,C17766,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$8,967,234.00","$8,829,700.10","$137,533.90",1.56%,1,3/17/2011
027A,C17766,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$9,857,796.05","$8,829,700.10","$1,028,095.95",11.64%,0,3/17/2011
1275A,C17766,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$9,629,284.02","$8,829,700.10","$799,583.92",9.06%,0,3/17/2011
865A,C17766,"CONCRETE EXPRESS, INC.","$9,432,010.78","$8,829,700.10","$602,310.68",6.82%,0,3/17/2011
672A,C17766,"OLDCASTLE SW GROUP, INC.","$11,034,395.01","$8,829,700.10","$2,204,694.91",24.97%,0,3/17/2011
,C17766 Average,,,,"$1,134,921.70",12.85%,,
677A,C18101,"CHATO'S CONCRETE, LLC","$496,543.00","$748,680.00","-$252,137.00",-33.68%,1,3/17/2011
968A,C18101,"COLORADO CONSTRUCTORS, INC.","$757,996.00","$748,680.00","$9,316.00",1.24%,0,3/17/2011
065A,C18101,CONCRETE WORKS OF COLORADO INCORPORATED,"$1,054,035.00","$748,680.00","$305,355.00",40.79%,0,3/17/2011
090A,C18101,INTERSTATE HIGHWAY CONSTRUCTION,"$729,103.07","$748,680.00","-$19,576.93",-2.61%,0,3/17/2011
854A,C18101,LAWSON CONSTRUCTION CO.,"$916,925.00","$748,680.00","$168,245.00",22.47%,0,3/17/2011
692A,C18101,NEW DESIGN CONSTRUCTION COMPANY,"$654,607.00","$748,680.00","-$94,073.00",-12.57%,0,3/17/2011
903A,C18101,"TLM CONSTRUCTORS, INC.","$642,081.00","$748,680.00","-$106,599.00",-14.24%,0,3/17/2011
S4792,C18101,VILLALOBOS CONCRETE INC,"$791,380.80","$748,680.00","$42,700.80",5.70%,0,3/17/2011
,C18101 Average,,,,"$6,653.86",0.89%,,
011A,C16212,AMES CONSTRUCTION INCORPORATED,"$19,999,999.00","$20,554,917.70","-$554,918.70",-2.70%,0,3/24/2011
865A,C16212,"CONCRETE EXPRESS, INC.","$19,737,216.42","$20,554,917.70","-$817,701.28",-3.98%,0,3/24/2011
164A,C16212,EDWARD KRAEMER AND SONS INCORPORATED,"$20,024,826.54","$20,554,917.70","-$530,091.16",-2.58%,0,3/24/2011
099H,C16212,"FLATIRON CONSTRUCTORS,  INC.","$19,296,972.61","$20,554,917.70","-$1,257,945.09",-6.12%,0,3/24/2011
884A,C16212,"HAMON INFRASTRUCTURE, INC.","$19,165,000.00","$20,554,917.70","-$1,389,917.70",-6.76%,0,3/24/2011
696A,C16212,"JALISCO INTERNATIONAL, INC.","$18,139,311.45","$20,554,917.70","-$2,415,606.25",-11.75%,0,3/24/2011
169A,C16212,LAWRENCE CONSTRUCTION COMPANY,"$16,250,620.93","$20,554,917.70","-$4,304,296.77",-20.94%,1,3/24/2011
870A,C16212,"SEMA CONSTRUCTION, INC.","$18,145,572.26","$20,554,917.70","-$2,409,345.44",-11.72%,0,3/24/2011
,C16212 Average,,,,"-$1,709,977.80",-8.32%,,
1231A,C17694,INTERFACE COMMUNICATIONS COMPANY,"$394,821.64","$389,627.40","$5,194.24",1.33%,1,3/24/2011
720A,C17694,"STURGEON ELECTRIC COMPANY, INC.","$445,240.10","$389,627.40","$55,612.70",14.27%,0,3/24/2011
697A,C17694,"W.L. CONTRACTORS, INC.","$451,081.10","$389,627.40","$61,453.70",15.77%,0,3/24/2011
,C17694 Average,,,,"$40,753.55",10.46%,,
1275A,C17667,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$5,663,467.30","$5,141,667.70","$521,799.60",10.15%,1,3/31/2011
090A,C17667,INTERSTATE HIGHWAY CONSTRUCTION,"$6,606,136.70","$5,141,667.70","$1,464,469.00",28.48%,0,3/31/2011
854A,C17667,LAWSON CONSTRUCTION CO.,"$6,614,126.15","$5,141,667.70","$1,472,458.45",28.64%,0,3/31/2011
,C17667 Average,,,,"$1,152,909.02",22.42%,,
005A,C18045,A and S CONSTRUCTION CO.,"$4,223,262.05","$4,371,738.80","-$148,476.75",-3.40%,1,3/31/2011
027A,C18045,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$4,317,331.75","$4,371,738.80","-$54,407.05",-1.24%,0,3/31/2011
174A,C18045,CONNELL RESOURCES INCORPORATED,"$4,436,758.30","$4,371,738.80","$65,019.50",1.49%,0,3/31/2011
091A,C18045,ELAM CONSTRUCTION INCORPORATED,"$4,370,903.99","$4,371,738.80",-$834.81,-0.02%,0,3/31/2011
695A,C18045,KIEWIT INFRASTRUCTURE CO.,"$5,096,721.45","$4,371,738.80","$724,982.65",16.58%,0,3/31/2011
163A,C18045,LAFARGE NORTH AMERICA INC.,"$4,454,036.60","$4,371,738.80","$82,297.80",1.88%,0,3/31/2011
672A,C18045,"OLDCASTLE SW GROUP, INC.","$4,298,462.00","$4,371,738.80","-$73,276.80",-1.68%,0,3/31/2011
,C18045 Average,,,,"$85,043.51",1.95%,,
1275A,C17021,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$4,740,074.34","$5,018,186.00","-$278,111.66",-5.54%,1,4/7/2011
065A,C17021,CONCRETE WORKS OF COLORADO INCORPORATED,"$6,073,332.99","$5,018,186.00","$1,055,146.99",21.03%,0,4/7/2011
090A,C17021,INTERSTATE HIGHWAY CONSTRUCTION,"$5,253,725.71","$5,018,186.00","$235,539.71",4.69%,0,4/7/2011
854A,C17021,LAWSON CONSTRUCTION CO.,"$5,335,690.35","$5,018,186.00","$317,504.35",6.33%,0,4/7/2011
692A,C17021,NEW DESIGN CONSTRUCTION COMPANY,"$5,581,218.74","$5,018,186.00","$563,032.74",11.22%,0,4/7/2011
S4792,C17021,VILLALOBOS CONCRETE INC,"$5,313,135.88","$5,018,186.00","$294,949.88",5.88%,0,4/7/2011
,C17021 Average,,,,"$364,677.00",7.27%,,
637A,C17619,"APC CONSTRUCTION CO., LLC","$2,085,143.00","$2,133,075.00","-$47,932.00",-2.25%,0,4/7/2011
924A,C17619,"ASPHALT SPECIALTIES CO., INC.","$1,858,792.00","$2,133,075.00","-$274,283.00",-12.86%,1,4/7/2011
032A,C17619,"BRANNAN SAND AND GRAVEL, LLC","$2,108,299.55","$2,133,075.00","-$24,775.45",-1.16%,0,4/7/2011
