Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
160A,C14211,"KIRKLAND CONSTRUCTION, L.L.L.P.","$1,419,287.50","$1,264,619.75","$154,667.75",12.23%,0,2/24/2005
163A,C14211,LAFARGE NORTH AMERICA INC.,"$1,371,783.40","$1,264,619.75","$107,163.65",8.47%,0,2/24/2005
025A,C14211,TONY J. BELTRAMO AND SONS INCORPORATED,"$1,210,936.15","$1,264,619.75","-$53,683.60",-4.25%,1,2/24/2005
,C14211 Average,,,,"$69,799.18",5.52%,,
668A,C14950,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$2,712,022.25","$2,610,741.70","$101,280.55",3.88%,1,2/24/2005
159C,C14950,KIEWIT WESTERN CO.,"$2,945,916.10","$2,610,741.70","$335,174.40",12.84%,0,2/24/2005
163A,C14950,LAFARGE NORTH AMERICA INC.,"$3,832,801.25","$2,610,741.70","$1,222,059.55",46.81%,0,2/24/2005
,C14950 Average,,,,"$552,838.17",21.18%,,
668A,C15017,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$3,073,856.73","$2,456,656.51","$617,200.22",25.12%,0,2/24/2005
159C,C15017,KIEWIT WESTERN CO.,"$3,084,426.36","$2,456,656.51","$627,769.85",25.55%,0,2/24/2005
279A,C15017,"TEZAK HEAVY EQUIPMENT CO., INC.","$2,370,229.77","$2,456,656.51","-$86,426.74",-3.52%,1,2/24/2005
284A,C15017,TRICON KENT COMPANY,"$2,629,425.84","$2,456,656.51","$172,769.33",7.03%,0,2/24/2005
,C15017 Average,,,,"$332,828.17",13.55%,,
621A,C15031,GMCO LIMITED LIABILITY COMPANY OF COLORADO,"$1,555,922.34","$1,094,741.45","$461,180.89",42.13%,0,2/24/2005
110E,C15031,"INTERMOUNTAIN SLURRY SEAL, INC.","$1,420,200.00","$1,094,741.45","$325,458.55",29.73%,0,2/24/2005
547A,C15031,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$1,514,952.65","$1,094,741.45","$420,211.20",38.38%,0,2/24/2005
,C15031 Average,,,,"$402,283.55",36.75%,,
868A,MM2019,"ARROW ELECTRIC SERVICE, INC.","$143,840.45","$208,198.00","-$64,357.55",-30.91%,1,2/24/2005
1098A,MM2019,DKS ENTERPRISES INC.,"$186,019.00","$208,198.00","-$22,179.00",-10.65%,0,2/24/2005
1095A,MM2019,"DOUBLE E, INC. DBA ELECTRICAL EXCELLENCE ENTERPRISES","$236,944.45","$208,198.00","$28,746.45",13.81%,0,2/24/2005
697A,MM2019,"W.L. CONTRACTORS, INC.","$200,670.00","$208,198.00","-$7,528.00",-3.62%,0,2/24/2005
,MM2019 Average,,,,"-$16,329.53",-7.84%,,
435A,MM3024,G.A. WESTERN CONSTRUCTION CO.,"$143,560.50","$146,615.00","-$3,054.50",-2.08%,1,2/24/2005
1086A,MM3024,"STRUCTURES, INC.","$198,902.00","$146,615.00","$52,287.00",35.66%,0,2/24/2005
,MM3024 Average,,,,"$24,616.25",16.79%,,
1282A,C14303,"AMERICAN WEST CONSTRUCTION, LLC","$3,530,418.65","$2,598,134.50","$932,284.15",35.88%,0,3/3/2005
924A,C14303,"ASPHALT SPECIALTIES CO., INC.","$3,391,368.80","$2,598,134.50","$793,234.30",30.53%,0,3/3/2005
1275A,C14303,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$3,726,849.31","$2,598,134.50","$1,128,714.81",43.44%,0,3/3/2005
884A,C14303,"HAMON INFRASTRUCTURE, INC.","$3,375,268.13","$2,598,134.50","$777,133.63",29.91%,0,3/3/2005
692A,C14303,NEW DESIGN CONSTRUCTION COMPANY,,"$2,598,134.50","-$2,598,134.50",0.00%,0,3/3/2005
,C14303 Average,,,,"$206,646.48",27.95%,,
174A,C14438,CONNELL RESOURCES INCORPORATED,"$72,916.70","$86,817.00","-$13,900.30",-16.01%,0,3/3/2005
360A,C14438,"MOUNTAIN CONSTRUCTORS, INC.","$57,817.00","$86,817.00","-$29,000.00",-33.40%,1,3/3/2005
,C14438 Average,,,,"-$21,450.15",-24.71%,,
005A,C14935,A and S CONSTRUCTION CO.,"$5,464,279.86","$3,902,182.50","$1,562,097.36",40.03%,0,3/3/2005
159C,C14935,KIEWIT WESTERN CO.,"$4,941,950.90","$3,902,182.50","$1,039,768.40",26.65%,0,3/3/2005
,C14935 Average,,,,"$1,300,932.88",33.34%,,
091A,C15027-ALT,ELAM CONSTRUCTION INCORPORATED,"$2,949,997.75","$2,610,596.25","$339,401.50",13.00%,0,3/3/2005
547A,C15027-ALT,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$2,815,815.20","$2,610,596.25","$205,218.95",7.86%,1,3/3/2005
,C15027-ALT Average,,,,"$272,310.23",10.43%,,
005A,C15030,A and S CONSTRUCTION CO.,"$3,823,034.96","$3,576,528.91","$246,506.05",6.89%,0,3/3/2005
017A,C15030,ASPHALT PAVING CO.,"$3,644,213.62","$3,576,528.91","$67,684.71",1.89%,0,3/3/2005
174A,C15030,CONNELL RESOURCES INCORPORATED,"$3,649,577.62","$3,576,528.91","$73,048.71",2.04%,0,3/3/2005
091A,C15030,ELAM CONSTRUCTION INCORPORATED,"$4,081,592.70","$3,576,528.91","$505,063.79",14.12%,0,3/3/2005
163A,C15030,LAFARGE NORTH AMERICA INC.,"$3,321,770.28","$3,576,528.91","-$254,758.63",-7.12%,1,3/3/2005
766C,C15030,MCATEE CONSTRUCTION CO.,"$3,447,595.82","$3,576,528.91","-$128,933.09",-3.60%,0,3/3/2005
,C15030 Average,,,,"$84,768.59",2.37%,,
547A,C15033,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$1,059,492.20","$1,038,501.50","$20,990.70",2.02%,1,3/3/2005
,C15033 Average,,,,"$20,990.70",2.02%,,
065A,C15053,CONCRETE WORKS OF COLORADO INCORPORATED,"$1,429,315.00","$972,598.00","$456,717.00",46.96%,0,3/3/2005
854A,C15053,LAWSON CONSTRUCTION CO.,"$1,654,888.00","$972,598.00","$682,290.00",70.15%,0,3/3/2005
1068A,C15053,PENHALL COMPANY,"$1,194,188.02","$972,598.00","$221,590.02",22.78%,0,3/3/2005
276A,C15053,"TECHNOLOGY CONSTRUCTORS, INC.","$1,316,293.00","$972,598.00","$343,695.00",35.34%,0,3/3/2005
903A,C15053,"TLM CONSTRUCTORS, INC.","$955,736.50","$972,598.00","-$16,861.50",-1.73%,1,3/3/2005
,C15053 Average,,,,"$337,486.10",34.70%,,
1040A,C14551,BTE CONCRETE FORMWORK LIMITED LIABILITY COMPANY,,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
164A,C14551,EDWARD KRAEMER AND SONS INCORPORATED,"$42,801,824.91","$26,549,684.32","$16,252,140.59",61.21%,0,3/10/2005
099H,C14551,"FLATIRON CONSTRUCTORS,  INC.","$32,188,915.74","$26,549,684.32","$5,639,231.42",21.24%,0,3/10/2005
159C,C14551,KIEWIT WESTERN CO.,,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
160A,C14551,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
107C,C14551,KNJ INCORPORATED,,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
169A,C14551,LAWRENCE CONSTRUCTION COMPANY,,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
692A,C14551,NEW DESIGN CONSTRUCTION COMPANY,,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
1363A,C14551,"POWER ENGINEERS, INC.",,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
870A,C14551,"SEMA CONSTRUCTION, INC.",,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
779A,C14551,"SUN CONSTRUCTION, INC.",,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
903A,C14551,"TLM CONSTRUCTORS, INC.",,"$26,549,684.32","-$26,549,684.32",0.00%,0,3/10/2005
,C14551 Average,,,,"-$20,300,455.93",6.87%,,
1040A,C14852,BTE CONCRETE FORMWORK LIMITED LIABILITY COMPANY,,"$1,337,325.00","-$1,337,325.00",0.00%,0,3/10/2005
023A,C14852,CANYON VALLEY ELECTRIC A DIVISION OF TIC,,"$1,337,325.00","-$1,337,325.00",0.00%,0,3/10/2005
1272A,C14852,"CUSTOM LIGHTING SERVICES COLORADO, LLC dba Black & McDonald",,"$1,337,325.00","-$1,337,325.00",0.00%,0,3/10/2005
1098A,C14852,DKS ENTERPRISES INC.,"$1,699,054.50","$1,337,325.00","$361,729.50",27.05%,0,3/10/2005
1095A,C14852,"DOUBLE E, INC. DBA ELECTRICAL EXCELLENCE ENTERPRISES","$1,665,367.05","$1,337,325.00","$328,042.05",24.53%,0,3/10/2005
1025A,C14852,FISCHBACH & MOORE ELECTRICAL dba KIMSEY ELECTRICAL CONTRACT,,"$1,337,325.00","-$1,337,325.00",0.00%,0,3/10/2005
913A,C14852,"INTERSTATE ELECTRICAL CONTRACTORS, INC.","$1,738,762.00","$1,337,325.00","$401,437.00",30.02%,0,3/10/2005
